dependent,independent,alpha,betas,residuals,adj_r2,adf_pvalue,adf_stat
BCHUSDT,"['BTCUSDT', 'DAIUSDT']",1.430470325525235e-13,"BTCUSDT   -1.831979e-17
DAIUSDT    1.000000e+00
dtype: float64","0         5.996315e-13
1         6.000755e-13
2         6.001866e-13
3         6.006307e-13
4         6.014078e-13
              ...     
611995    1.401546e-12
611996    1.401657e-12
611997    1.401657e-12
611998    1.401657e-12
611999    1.401657e-12
Name: None, Length: 612000, dtype: float64",1.0,0.5079676284052191,-1.5513623205512677
BCHUSDT,"['DAIUSDT', 'BTCUSDT']",1.2805701377766043e-11,"DAIUSDT    1.000000e+00
BTCUSDT   -5.277575e-17
dtype: float64","0        -1.167277e-11
1        -1.167155e-11
2        -1.167133e-11
3        -1.167011e-11
4        -1.166789e-11
              ...     
611995   -9.349854e-12
611996   -9.349521e-12
611997   -9.349521e-12
611998   -9.349521e-12
611999   -9.349521e-12
Name: None, Length: 612000, dtype: float64",1.0,0.4918236092499895,-1.5836054301981475
DAIUSDT,"['BTCUSDT', 'BCHUSDT']",1.430470325525235e-13,"BTCUSDT   -1.831979e-17
BCHUSDT    1.000000e+00
dtype: float64","0         5.996315e-13
1         6.000755e-13
2         6.001866e-13
3         6.006307e-13
4         6.014078e-13
              ...     
611995    1.401546e-12
611996    1.401657e-12
611997    1.401657e-12
611998    1.401657e-12
611999    1.401657e-12
Name: None, Length: 612000, dtype: float64",1.0,0.5079676284052191,-1.5513623205512677
DAIUSDT,"['BCHUSDT', 'BTCUSDT']",1.2805701377766043e-11,"BCHUSDT    1.000000e+00
BTCUSDT   -5.277575e-17
dtype: float64","0        -1.167277e-11
1        -1.167155e-11
2        -1.167133e-11
3        -1.167011e-11
4        -1.166789e-11
              ...     
611995   -9.349854e-12
611996   -9.349521e-12
611997   -9.349521e-12
611998   -9.349521e-12
611999   -9.349521e-12
Name: None, Length: 612000, dtype: float64",1.0,0.4918236092499895,-1.5836054301981475
BCHUSDT,"['ETHUSDT', 'DAIUSDT']",2.454932958306788e-13,"ETHUSDT    5.410803e-19
DAIUSDT    1.000000e+00
dtype: float64","0        -1.683098e-13
1        -1.683098e-13
2        -1.683098e-13
3        -1.681988e-13
4        -1.681988e-13
              ...     
611995   -1.691980e-13
611996   -1.691980e-13
611997   -1.691980e-13
611998   -1.691980e-13
611999   -1.691980e-13
Name: None, Length: 612000, dtype: float64",1.0,0.9602089861795658,0.020676581238854075
BCHUSDT,"['DAIUSDT', 'ETHUSDT']",-1.7045670430704263e-12,"DAIUSDT    1.000000e+00
ETHUSDT   -1.940711e-17
dtype: float64","0        -1.250111e-13
1        -1.250111e-13
2        -1.250111e-13
3        -1.255662e-13
4        -1.254552e-13
              ...     
611995   -1.024736e-13
611996   -1.024736e-13
611997   -1.024736e-13
611998   -1.024736e-13
611999   -1.024736e-13
Name: None, Length: 612000, dtype: float64",1.0,0.0,-19.675133605500733
DAIUSDT,"['ETHUSDT', 'BCHUSDT']",2.454932958306788e-13,"ETHUSDT    5.410803e-19
BCHUSDT    1.000000e+00
dtype: float64","0        -1.683098e-13
1        -1.683098e-13
2        -1.683098e-13
3        -1.681988e-13
4        -1.681988e-13
              ...     
611995   -1.691980e-13
611996   -1.691980e-13
611997   -1.691980e-13
611998   -1.691980e-13
611999   -1.691980e-13
Name: None, Length: 612000, dtype: float64",1.0,0.9602089861795658,0.020676581238854075
DAIUSDT,"['BCHUSDT', 'ETHUSDT']",-1.7045670430704263e-12,"BCHUSDT    1.000000e+00
ETHUSDT   -1.940711e-17
dtype: float64","0        -1.250111e-13
1        -1.250111e-13
2        -1.250111e-13
3        -1.255662e-13
4        -1.254552e-13
              ...     
611995   -1.024736e-13
611996   -1.024736e-13
611997   -1.024736e-13
611998   -1.024736e-13
611999   -1.024736e-13
Name: None, Length: 612000, dtype: float64",1.0,0.0,-19.675133605500733
ADAUSDT,"['LINKUSDT', 'XLMUSDT']",0.012059151531349656,"LINKUSDT    0.022715
XLMUSDT     1.117287
dtype: float64","0         0.098526
1         0.098626
2         0.098626
3         0.098626
4         0.098347
            ...   
611995   -0.038652
611996   -0.038312
611997   -0.038993
611998   -0.036913
611999   -0.036517
Name: None, Length: 612000, dtype: float64",0.9452904699133863,0.00038068382007534665,-4.338541076488669
ADAUSDT,"['XLMUSDT', 'LINKUSDT']",0.012059151531393083,"XLMUSDT     1.117287
LINKUSDT    0.022715
dtype: float64","0         0.098526
1         0.098626
2         0.098626
3         0.098626
4         0.098347
            ...   
611995   -0.038652
611996   -0.038312
611997   -0.038993
611998   -0.036913
611999   -0.036517
Name: None, Length: 612000, dtype: float64",0.9452904699133857,0.00038068382007555633,-4.338541076488532
