dependent,independent,alpha,adj_r2
WBTC,"['BTCUSDT', 'DOGEUSDT']",1.0303825120585492,0.08127578345520281
WBTC,"['DOGEUSDT', 'BTCUSDT']",1.0303825120525074,0.08127578345519515
BTCUSDT,"['DOGEUSDT', 'XRPUSDT']",43015.28525026994,0.8746627573611534
BTCUSDT,"['XRPUSDT', 'DOGEUSDT']",43015.28525026994,0.8746627573611533
DOGEUSDT,"['BTCUSDT', 'XRPUSDT']",-0.2103264136954477,0.6427535359634367
DOGEUSDT,"['XRPUSDT', 'BTCUSDT']",-0.21032641369506933,0.6427535359634355
XRPUSDT,"['BTCUSDT', 'DOGEUSDT']",-2.155417819961542,0.7875897725823519
XRPUSDT,"['DOGEUSDT', 'BTCUSDT']",-2.1554178200310115,0.7875897725823547
BTCUSDT,"['DOGEUSDT', 'BCHUSDT']",46465.24923195144,0.5855690384666894
BTCUSDT,"['BCHUSDT', 'DOGEUSDT']",46465.24923191777,0.5855690384666868
DOGEUSDT,"['BTCUSDT', 'BCHUSDT']",-0.031032016755373287,0.5856446744932835
DOGEUSDT,"['BCHUSDT', 'BTCUSDT']",-0.03103201675649123,0.5856446744932851
BCHUSDT,"['BTCUSDT', 'DOGEUSDT']",0.9892537249333757,0.0005011737386846349
BCHUSDT,"['DOGEUSDT', 'BTCUSDT']",0.9892537249333098,0.0005011737386881876
BTCUSDT,"['DOGEUSDT', 'DAIUSDT']",46465.24923195144,0.5855690384666894
BTCUSDT,"['DAIUSDT', 'DOGEUSDT']",46465.24923191777,0.5855690384666868
DOGEUSDT,"['BTCUSDT', 'DAIUSDT']",-0.031032016755373287,0.5856446744932835
DOGEUSDT,"['DAIUSDT', 'BTCUSDT']",-0.03103201675649123,0.5856446744932851
DAIUSDT,"['BTCUSDT', 'DOGEUSDT']",0.9892537249333757,0.0005011737386846349
DAIUSDT,"['DOGEUSDT', 'BTCUSDT']",0.9892537249333098,0.0005011737386881876
BTCUSDT,"['DOGEUSDT', 'LTCUSDT']",11543.972145225445,0.8278491207631287
BTCUSDT,"['LTCUSDT', 'DOGEUSDT']",11543.972145221564,0.8278491207631293
DOGEUSDT,"['BTCUSDT', 'LTCUSDT']",-0.09107331737665324,0.6011189149260007
DOGEUSDT,"['LTCUSDT', 'BTCUSDT']",-0.09107331737663565,0.6011189149260018
LTCUSDT,"['BTCUSDT', 'DOGEUSDT']",13.44772321831956,0.7241356775933964
LTCUSDT,"['DOGEUSDT', 'BTCUSDT']",13.44772321738671,0.7241356775933872
BTCUSDT,"['DOGEUSDT', 'XLMUSDT']",43196.568121970675,0.8180484714565629
BTCUSDT,"['XLMUSDT', 'DOGEUSDT']",43196.568121971606,0.8180484714565626
DOGEUSDT,"['BTCUSDT', 'XLMUSDT']",-0.12321854708395086,0.5868545825038105
DOGEUSDT,"['XLMUSDT', 'BTCUSDT']",-0.12321854708468082,0.5868545825038214
XLMUSDT,"['BTCUSDT', 'DOGEUSDT']",-0.27389227507878233,0.7407738048977739
XLMUSDT,"['DOGEUSDT', 'BTCUSDT']",-0.27389227508045016,0.7407738048977768
BTCUSDT,"['DOGEUSDT', 'AVAXUSDT']",47915.0759398606,0.5876273890094523
